uid,eventID,pointID,stemDistance,stemAzimuth,individualID,taxonID,scientificName,taxonRank
61cd2b7c-4158-4b9a-b2cf-f7174427317d,vst_BART_2015,41,1.5,18.5,NEON.PLA.D01.BART.00332,ACRU,Acer rubrum L.,species
27ace1a1-a3c4-4108-8811-d5f27e6696dc,vst_BART_2015,41,3.5,352.5,NEON.PLA.D01.BART.00333,FAGR,Fagus grandifolia Ehrh.,species
2a5a4507-bdcb-4100-92f0-e605df758776,vst_BART_2015,41,3.8,311.4,NEON.PLA.D01.BART.00334,TSCA,Tsuga canadensis (L.) Carrière,species
6ea21e9e-76c5-4390-971a-985faf5161c7,vst_BART_2015,43,13,340.1,NEON.PLA.D01.BART.00335,BEAL2,Betula alleghaniensis Britton,species
615f5db1-32d9-4535-a459-0bde0a29ac4e,vst_BART_2015,43,12.5,339.1,NEON.PLA.D01.BART.00336,FAGR,Fagus grandifolia Ehrh.,species
8d7e5012-711a-4106-aee7-dd05e4376b41,vst_BART_2015,61,19,215.3,NEON.PLA.D01.BART.00367,TSCA,Tsuga canadensis (L.) Carrière,species
1cf5d4f3-9851-4b95-b4d2-eb6479ebc099,vst_BART_2015,41,14.8,130.9,NEON.PLA.D01.BART.00368,FAGR,Fagus grandifolia Ehrh.,species
3e0fa400-6abf-4c9f-8fa5-2c5df64ffce1,vst_BART_2015,25,10.2,354.9,NEON.PLA.D01.BART.00369,ACSAS,Acer saccharum Marshall var. saccharum,variety
8d7a3267-600f-4b97-934e-77e76d440559,vst_BART_2015,57,32.3,117.5,NEON.PLA.D01.BART.00371,FAGR,Fagus grandifolia Ehrh.,species
56f587f4-a087-4bfe-8799-3cb027153770,vst_BART_2015,41,12.9,36.3,NEON.PLA.D01.BART.00801,PICEA,Picea sp.,genus
0c83b988-2332-4139-8b90-75c73418f920,vst_BART_2015,41,15.7,35.5,NEON.PLA.D01.BART.00802,BEAL2,Betula alleghaniensis Britton,species
919184c1-c743-42da-ae55-673a1388368a,vst_BART_2018,61,7.1,198.6,NEON.PLA.D01.BART.00803,TSCA,Tsuga canadensis (L.) Carrière,species
63cbe1dc-5319-4de3-b876-cae1ba71adde,vst_BART_2018,61,9.3,193.6,NEON.PLA.D01.BART.00804,PICEA,Picea sp.,genus
32b7ddd0-66a0-4557-a868-0d2100fc564c,vst_BART_2015,25,27.6,310.3,NEON.PLA.D01.BART.00805,ACRU,Acer rubrum L.,species
d3e02f21-742c-4d6b-ba77-43207eb55b13,vst_BART_2015,61,19.2,212.2,NEON.PLA.D01.BART.00806,TSCA,Tsuga canadensis (L.) Carrière,species
