uid,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,easting,northing,utmZone,elevation,elevationUncertainty,eventID
d0aba948-bd85-45a6-9a57-b9bbab9c10ae,DELA_055,tower,deciduousForest,32.541758,-87.807767,WGS84,424153.06,3600775.66,16N,25.8,0.3,vst_DELA_2016
5c724416-f54b-4706-a25e-03686f868e4d,DELA_056,tower,woodyWetlands,32.540984,-87.801984,WGS84,424695.43,3600685.76,16N,30.1,0.3,vst_DELA_2017
c378588c-f00e-410b-a4c0-d9412718f0cd,DSNY_001,distributed,woodyWetlands,28.0967,-81.418579,WGS84,458880.85,3107985.14,17N,20.7,0.1,vst_DSNY_2017
638601b9-a709-4b80-9d12-612c9b72e3a1,DSNY_002,distributed,woodyWetlands,28.048244,-81.416879,WGS84,459029.47,3102616.71,17N,17.7,0.1,vst_DSNY_2017
2ae96f18-6c68-467a-9c03-12305b505a7c,DSNY_004,distributed,woodyWetlands,28.099732,-81.399974,WGS84,460709.63,3108314.87,17N,18.8,0.1,vst_DSNY_2017
06e917f5-c38d-4bf5-973e-676504687cc0,DSNY_005,distributed,woodyWetlands,28.039641,-81.393323,WGS84,461341.48,3101656,17N,19.5,0.1,vst_DSNY_2017
9f6854e9-1077-4d30-b677-c464e55e3370,DSNY_009,distributed,pastureHay,28.073118,-81.428559,WGS84,457891.25,3105376.18,17N,19,0.1,vst_DSNY_2017
b3672ffc-043e-4eb7-8c56-5eee30fa0b08,DSNY_011,distributed,woodyWetlands,28.070798,-81.383974,WGS84,462271.25,3105104.56,17N,20.2,0.6,vst_DSNY_2017
4f37527a-817b-4b43-944d-63d026c6edf9,DSNY_015,distributed,woodyWetlands,28.111847,-81.42168,WGS84,458582.04,3109664.15,17N,20.8,0.1,vst_DSNY_2017
351b9b4d-e0cd-4f54-b190-e51847223887,DSNY_016,distributed,pastureHay,28.043948,-81.393638,WGS84,461312.06,3102133.21,17N,19.7,0.1,vst_DSNY_2017
bbed821c-9236-4fea-be2b-4ca90d968c26,DSNY_017,distributed,woodyWetlands,28.058282,-81.402874,WGS84,460409.56,3103724.07,17N,20.1,0.1,vst_DSNY_2017
6332386c-1181-4216-a48a-c66238fc64de,DSNY_018,distributed,woodyWetlands,28.061213,-81.426376,WGS84,458101.13,3104056.62,17N,17.5,0.1,vst_DSNY_2017
b74c6766-93a0-4165-8f2c-34922482176d,DSNY_019,distributed,woodyWetlands,28.074836,-81.394674,WGS84,461221.33,3105555.24,17N,20.7,0.1,vst_DSNY_2017
6ab06071-a564-49e4-a63e-260a183dd38b,DSNY_020,distributed,woodyWetlands,28.097278,-81.4079,WGS84,459930.13,3108045.61,17N,20.6,0.1,vst_DSNY_2017
c1716129-41ff-424e-a07a-f4c35977d41c,DSNY_021,distributed,pastureHay,28.052638,-81.393374,WGS84,461341.12,3103095.79,17N,19.8,0.1,vst_DSNY_2017
7f7b450c-57cc-4d6b-9d0d-b6a6ca304f54,GRSM_001,distributed,deciduousForest,35.684584,-83.532113,WGS84,270857.35,3951919.81,17N,467,0.2,vst_GRSM_2016
38952a14-9a11-4ac0-928a-168e1c779d13,GRSM_047,tower,deciduousForest,35.687618,-83.506289,WGS84,273203.36,3952196.42,17N,657.3,0.1,vst_GRSM_2016
561f94b0-9fc0-403e-a47e-6323f84ec8a1,GRSM_048,tower,deciduousForest,35.68586,-83.498951,WGS84,273862.55,3951984.45,17N,602.9,0.2,vst_GRSM_2018
3f97085e-ce0a-46cc-b498-356ee4195176,GRSM_049,tower,deciduousForest,35.68754,-83.497,WGS84,274043.88,3952166.34,17N,643.2,0.3,vst_GRSM_2015
17784922-0b6a-4a5d-84af-3c38bb75f632,GRSM_050,tower,deciduousForest,35.684969,-83.503885,WGS84,273413.45,3951896.98,17N,673,0.3,vst_GRSM_2018
7959ff15-1a8a-4119-bacd-297a59445d33,GRSM_051,tower,deciduousForest,35.688413,-83.507293,WGS84,273114.74,3952286.94,17N,657.4,0.3,vst_GRSM_2015
24341bea-8c04-475e-a18a-a47d694635ae,GRSM_052,tower,mixedForest,35.692347,-83.500764,WGS84,273716.79,3952708.32,17N,590.1,0.3,vst_GRSM_2017
f8eb7cd4-4819-4668-b539-2962a387f49d,GRSM_053,tower,deciduousForest,35.685026,-83.500254,WGS84,273742.26,3951894.93,17N,619.9,0.3,vst_GRSM_2016
ca955c1e-c286-433a-aa3c-bc96816aea06,GRSM_054,tower,deciduousForest,35.691476,-83.501738,WGS84,273626.18,3952613.93,17N,569.4,0.4,vst_GRSM_2017
f289b145-ee55-48f1-9a35-c42e78448c67,GRSM_055,tower,deciduousForest,35.685524,-83.502249,WGS84,273563.1,3951954.78,17N,624.4,0.2,vst_GRSM_2016
fe9d1bd3-ced5-4153-b6af-23248a40d6d5,GRSM_056,tower,deciduousForest,35.687094,-83.504948,WGS84,273323.25,3952135.19,17N,635,0.2,vst_GRSM_2016
647311ea-5b55-4081-bcbc-a89e9eff89fa,GRSM_057,tower,deciduousForest,35.686589,-83.502284,WGS84,273562.94,3952073.01,17N,592.2,0.4,vst_GRSM_2016
695840f5-09be-4f16-94cd-c24ac20496f8,GRSM_059,tower,deciduousForest,35.686508,-83.506607,WGS84,273171.43,3952074.01,17N,655,0.3,vst_GRSM_2016
028a04fb-1e02-4e9a-a5ed-b4f19e3f6f05,GRSM_060,tower,deciduousForest,35.686007,-83.503986,WGS84,273407.24,3952012.37,17N,639.1,0.3,vst_GRSM_2017
018a0376-1685-4a46-a44a-57f6d13e8f41,GRSM_062,tower,deciduousForest,35.693342,-83.502845,WGS84,273531.27,3952823.51,17N,579,0.1,vst_GRSM_2016
e2035f79-af12-4fee-bb63-d030978864e0,GRSM_063,tower,deciduousForest,35.684768,-83.498909,WGS84,273863.27,3951863.21,17N,626.8,0.3,vst_GRSM_2016
debbf5b0-e49e-42dd-aad8-5b27c2698ef3,GRSM_064,tower,deciduousForest,35.689831,-83.503034,WGS84,273504.23,3952434.42,17N,565.6,0.2,vst_GRSM_2015
79502e8d-14d2-4592-a7c6-5062bf440e4e,GRSM_065,tower,deciduousForest,35.690919,-83.503412,WGS84,273473.1,3952556,17N,566.2,0.3,vst_GRSM_2015
aa5568ce-a62d-4201-a11c-2e27c09e14d0,GRSM_066,tower,deciduousForest,35.688774,-83.502676,WGS84,273533.64,3952316.33,17N,570.6,0.1,vst_GRSM_2015
b7d4ffd2-964a-4feb-b993-78051af6e91a,GUAN_002,distributed,evergreenForest,17.970294,-66.824633,WGS84,730373.7,1988248.73,19N,89.1,0.1,vst_GUAN_2017
76653379-ccb4-45d4-a606-f53ad11aa6f9,GUAN_003,distributed,evergreenForest,17.973133,-66.861701,WGS84,726443.04,1988517.37,19N,182.9,0.3,vst_GUAN_2016
